代码,名称,当前价,评分,信号数量,信号列表,详情
600269,赣粤高速,3.82,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度78%', '地量(均量60%)', '均线粘合(离散度1.01%)']"
600011,华能国际,6.79,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度73%', '地量(均量22%)', '均线粘合(离散度0.67%)']"
600021,上海电力,13.43,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量25%)', '均线粘合(离散度2.00%)']"
600032,浙江新能,7.07,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度0.90%)']"
600078,澄星股份,10.36,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量24%)', '均线粘合(离散度2.03%)']"
600100,同方股份,6.88,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度50%', '地量(均量40%)', '均线粘合(离散度0.44%)']"
600125,铁龙物流,5.34,10,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度56%', '地量(均量45%)', '均线粘合(离散度0.84%)']"
600126,杭钢股份,6.24,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量24%)', '均线粘合(离散度1.61%)']"
600131,国网信通,14.31,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度43%', '地量(均量29%)', '均线粘合(离散度1.54%)']"
600149,廊坊发展,5.03,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量28%)', '均线粘合(离散度2.08%)']"
600152,维科技术,7.94,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量21%)', '均线粘合(离散度0.75%)']"
600158,中体产业,7.17,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度1.42%)']"
600236,桂冠电力,9.6,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度56%', '地量(均量19%)', '均线粘合(离散度1.65%)']"
600241,时代万恒,7.3,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度47%', '地量(均量39%)', '均线粘合(离散度1.85%)']"
600268,国电南自,10.49,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度1.65%)']"
600459,贵研铂业,19.36,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度41%', '地量(均量32%)', '均线粘合(离散度2.81%)']"
600481,双良节能,4.18,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量21%)', '均线粘合(离散度1.32%)']"
600509,天富能源,7.31,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量25%)', '均线粘合(离散度1.61%)']"
600528,中铁工业,6.86,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度49%', '地量(均量35%)', '均线粘合(离散度0.63%)']"
600538,国发股份,4.91,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量33%)', '均线粘合(离散度1.62%)']"
600550,保变电气,10.91,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量22%)', '均线粘合(离散度1.48%)']"
600578,京能电力,5.38,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量28%)', '均线粘合(离散度2.08%)']"
600586,金晶科技,4.09,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量33%)', '均线粘合(离散度0.86%)']"
600589,大位科技,7.85,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度1.36%)']"
600642,申能股份,8.6,10,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度91%', '地量(均量43%)', '均线粘合(离散度0.72%)']"
600666,奥瑞德,3.53,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量39%)', '均线粘合(离散度0.43%)']"
